id,recipient,announced_work,program,award_amount_usd,year,source_id,source_url,selection_reason,outcome_status
11,Stevie Miller,Writing for Works in Progress,Emergent Ventures,,2025,EV41,https://marginalrevolution.com/marginalrevolution/2025/03/emergent-ventures-winners-41st-cohort.html,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
12,Abe Callard,Film about conversation,Emergent Ventures,,2025,EV41,https://marginalrevolution.com/marginalrevolution/2025/03/emergent-ventures-winners-41st-cohort.html,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
13,Mark Lutter,Cities and governance,Emergent Ventures,,2025,EV41,https://marginalrevolution.com/marginalrevolution/2025/03/emergent-ventures-winners-41st-cohort.html,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
14,Daragh Jordan,AI-managed social feeds,Emergent Ventures,,2025,EV41,https://marginalrevolution.com/marginalrevolution/2025/03/emergent-ventures-winners-41st-cohort.html,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
15,Mehran Jalali,Mesoamerican lidar research,Emergent Ventures,,2025,EV41,https://marginalrevolution.com/marginalrevolution/2025/03/emergent-ventures-winners-41st-cohort.html,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
16,Jonny Miller,Somatic-literacy teaching,O’Shaughnessy Grants,10000,2025,OSVG,https://newsletter.osv.llc/p/we-just-gave-people-220000-to-build,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
17,Miyoba Hamuhuma,Inclusive schooling in Zambia,O’Shaughnessy Grants,10000,2025,OSVG,https://newsletter.osv.llc/p/we-just-gave-people-220000-to-build,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
18,Alfaxad Eyembe,Swahili-language AI,O’Shaughnessy Grants,10000,2025,OSVG,https://newsletter.osv.llc/p/we-just-gave-people-220000-to-build,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
19,Daniel Van Zant,Citation-focused research software,O’Shaughnessy Grants,10000,2025,OSVG,https://newsletter.osv.llc/p/we-just-gave-people-220000-to-build,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
20,Zelda Poem,Residency for emerging creators,O’Shaughnessy Grants,10000,2025,OSVG,https://newsletter.osv.llc/p/we-just-gave-people-220000-to-build,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
21,Nick Linck,Alternative learning through residencies,O’Shaughnessy Grants,10000,2025,OSVG,https://newsletter.osv.llc/p/we-just-gave-people-220000-to-build,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
22,Tommy Potter,Community for undiscovered talent,O’Shaughnessy Grants,10000,2025,OSVG,https://newsletter.osv.llc/p/we-just-gave-people-220000-to-build,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
23,Elle Griffin,Writing about possible futures,O’Shaughnessy Grants,10000,2025,OSVG,https://newsletter.osv.llc/p/we-just-gave-people-220000-to-build,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
24,Jose Luis Sabau,Spanish-language cultural publication,O’Shaughnessy Grants,10000,2025,OSVG,https://newsletter.osv.llc/p/we-just-gave-people-220000-to-build,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
25,Shani Zhang,Illustrated public journal of San Francisco,O’Shaughnessy Grants,10000,2025,OSVG,https://newsletter.osv.llc/p/we-just-gave-people-220000-to-build,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
26,Benjamin Arya,Gene-editing tools and delivery,O’Shaughnessy Fellowship,100000,2025,OSVF,https://newsletter.osv.llc/p/meet-the-2025-oshaughnessy-fellows,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
27,Aida Baradari,Portable microphone-blocking device,O’Shaughnessy Fellowship,100000,2025,OSVF,https://newsletter.osv.llc/p/meet-the-2025-oshaughnessy-fellows,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
28,Ninon Lizé Masclef,Brain-computer interfaces for dream imagery,O’Shaughnessy Fellowship,100000,2025,OSVF,https://newsletter.osv.llc/p/meet-the-2025-oshaughnessy-fellows,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
29,Alexandros Petkos,Open autonomous robotics,O’Shaughnessy Fellowship,100000,2025,OSVF,https://newsletter.osv.llc/p/meet-the-2025-oshaughnessy-fellows,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
30,Miguel Solano,AI computing and scientific applications,O’Shaughnessy Fellowship,100000,2025,OSVF,https://newsletter.osv.llc/p/meet-the-2025-oshaughnessy-fellows,Not publicly established by this announcement,"Funded work announcement, not independently verified outcome"
